idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.0102057912997074,0.12845005885038,3,0.1,0.9,0.3,,,,,14955,5682,45,0.0003,5.44582091069828e-08,1.8e-07,0,0,0,2,0
2,0.2,0.00930600227029082,0.12596768384493,3,0.1,0.75,0.2,,,,,14861,5773,138,0.00092,5.35559630697296e-08,1.6928e-06,0,0,0,2,0
3,0.2,0.0295713209763377,0.180655537950392,3,0.1,0.65,0.7,,,,,14781,5857,219,0.00146,7.81253458811874e-08,2.1316e-06,0,0,0,1,0
4,0.2,0.00876344861630235,0.224601056049169,3,0.2,0.5,0.35,,,,,29411,6227,589,0.00392666666666667,4.84173548321546e-08,1.54187111111111e-05,0,0,0,1,0
5,0.2,0.0103251203954586,0.228526557697974,3,0.2,0.8,0.4,,,,,29730,5906,270,0.0018,6.31986378493723e-08,3.24e-06,0,0,0,1,0
