idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,11372.9686552902,0.253133844662163,9,0.2,0.65,0.3,,,,,25738,56,4255,0.0283666666666667,0.999915908588211,0.00160933555555556,0,,0,0,2,0
2,0.1,0.0023851804942157,0.05239448135246,9,0.05,0.55,0.15,,,,,7489,2072,10,6.66666666666667e-05,1.41976433884816e-08,8.88888888888889e-09,0,,0,0,2,0
3,0.1,0.00205031863474794,0.102043766121635,9,0.1,0.4,0.25,,,,,14867,2191,127,0.000846666666666667,1.6131778673096e-08,1.43368888888889e-06,0,,0,0,2,0
4,0.1,99691.1665414458,0.0523450892789608,9,0.25,0.6,0.1,,,,,21122,16,16370,0.109133333333333,1.00003568873755,0.0238201688888889,0,,0,0,2,0
5,0.1,0.0236661156134513,0.0359923394163303,9,0.01,0.8,0.4,,,,,1499,3354,0,0,2.5960316803376e-09,0,0,,0,0,2,0
6,0.1,0.0154677066633151,0.0379879324497913,9,0.02,0.7,0.3,,,,,2999,3347,0,0,8.10942322828712e-10,0,0,,0,0,1,0
7,0.1,9477.29019338053,0.199198033944073,9,0.25,0.8,0.2,,,,,25569,4,11923,0.0794866666666667,1.00009649166453,0.00631813017777778,0,,0,0,1,0
8,0.1,29032.8204173563,0.146937082591327,9,0.2,0.95,0.35,,,,,25776,16,4218,0.02812,1.00003289891271,0.0007907344,0,,0,0,1,0
9,0.1,0.0344110608840015,0.0438696984062393,9,0.01,0.75,0.45,,,,,1500,3354,0,0,2.02154234046901e-08,0,0,,0,0,1,0
10,0.1,0.038257356223112,0.0486984643777532,9,0.01,0.85,0.65,,,,,1500,3356,0,0,1.23755833032107e-08,0,0,,0,0,1,0
