idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,32768.3150385937,0.220093182279398,6,0.2,0.65,0.3,,,,,25464,330,4532,0.0302133333333333,0.999992641754696,0.00182569102222222,0,,0,0,2,0
2,0.1,0.00440533483343452,0.056387302997788,6,0.05,0.55,0.15,,,,,7422,2139,77,0.000513333333333333,2.77835462260179e-08,5.27022222222222e-07,0,,0,0,2,0
3,0.1,0.00215621832631704,0.103104134158243,6,0.1,0.4,0.25,,,,,14548,2510,449,0.00299333333333333,3.14321316755223e-08,1.79200888888889e-05,0,,0,0,2,0
4,0.1,98445.8486786275,0.0495675178411115,6,0.25,0.6,0.1,,,,,20967,171,16528,0.110186666666667,1.00002443190038,0.0242822030222222,0,,0,0,2,0
5,0.1,0.0109983564664858,0.0313783803111281,6,0.01,0.8,0.4,,,,,1499,3354,0,0,7.41186060463634e-11,0,0,,0,0,2,0
6,0.1,0.0122792600210688,0.0437159113552944,6,0.02,0.7,0.3,,,,,2999,3347,0,0,8.60102819581466e-11,0,0,,0,0,1,0
7,0.1,25990.6932900671,0.195775549323641,6,0.25,0.8,0.2,,,,,25522,51,11973,0.07982,1.00002503594445,0.0063712324,0,,0,0,1,0
8,0.1,41307.1549261516,0.173201538042799,6,0.2,0.95,0.35,,,,,25656,136,4341,0.02894,1.00000778515964,0.0008375236,0,,0,0,1,0
9,0.1,0.0120426068888953,0.0348042112814446,6,0.01,0.75,0.45,,,,,1500,3354,0,0,1.84408338021549e-11,0,0,,0,0,1,0
10,0.1,0.0337273088295405,0.0645730050098845,6,0.01,0.85,0.65,,,,,1500,3356,0,0,3.69313692908371e-09,0,0,,0,0,1,0
