idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,301.362419830098,0.31523645962355,1,0.2,0.65,0.3,,,,,18231,7480,11769,0.07846,0.999235522423603,0.0123119432,0,,0,0,2,0
2,0.1,0.000705200310113354,0.0556214013836744,1,0.05,0.55,0.15,,,,,5254,4322,2246,0.0149733333333333,1.19170785440703e-07,0.000448401422222222,0,,0,0,2,0
3,0.1,0.000294801063837867,0.10237276905859,1,0.1,0.4,0.25,,,,,9975,7104,5025,0.0335,1.02088541484465e-07,0.0022445,0,,0,0,2,0
4,0.1,899.162426573989,0.0978164357815309,1,0.25,0.6,0.1,,,,,14073,7410,23427,0.15618,1.00033855801744,0.0487843848,0,,0,0,2,0
5,0.1,0.00446203522492324,0.0460748777182786,1,0.01,0.8,0.4,,,,,1471,3333,29,0.000193333333333333,9.4970785156445e-08,7.47555555555556e-08,0,,0,0,2,0
6,0.1,0.00335875990281319,0.046856104738816,1,0.02,0.7,0.3,,,,,2705,3596,295,0.00196666666666667,1.13475511185932e-07,3.86777777777778e-06,0,,0,0,1,0
7,0.1,2519.55113225258,0.0958671560402918,1,0.25,0.8,0.2,,,,,19625,6030,17875,0.119166666666667,1.00012235693208,0.0142006944444444,0,,0,0,1,0
8,0.1,3244.98001612229,0.0968245366987109,1,0.2,0.95,0.35,,,,,19686,6023,10314,0.06876,1.00006359283778,0.0047279376,0,,0,0,1,0
9,0.1,0.00529631163306248,0.052851120134011,1,0.01,0.75,0.45,,,,,1475,3330,25,0.000166666666666667,9.38568571886594e-08,2.77777777777778e-08,0,,0,0,1,0
10,0.1,0.00655260325788339,0.0630798714232787,1,0.01,0.85,0.65,,,,,1481,3324,19,0.000126666666666667,9.2029627237986e-08,1.60444444444444e-08,0,,0,0,1,0
