idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,7.28501924943635,0.0370514657691374,7,0.04,0.95,0.05,,,,,5751,269,245,0.00163333333333333,1.00568243556305,5.33555555555556e-06,0,0,0,2,0
2,0.1,9.7361523134907e-06,0.0400126165660871,7,0.04,0.95,0.05,,,,,5703,319,293,0.00195333333333333,1.32156865733751e-08,7.63102222222222e-06,0,0,0,2,0
3,0.1,0.00114667490556189,0.0408224431025357,7,0.04,0.95,0.05,,,,,5710,307,284,0.00189333333333333,4.35594303971307e-05,7.16942222222222e-06,0,0,0,2,0
4,0.1,5.12569258576757e-05,0.0400473737122395,7,0.04,0.95,0.05,,,,,5760,264,240,0.0016,2.4016296562025e-06,5.12e-06,0,0,0,2,0
5,0.1,0.000357631202803875,0.0402835087790177,7,0.04,0.95,0.05,,,,,5732,287,267,0.00178,1.51369984120045e-05,6.3368e-06,0,0,0,2,0
6,0.1,0.00101581541431597,0.0460997121549009,7,0.04,0.95,0.05,,,,,5740,281,257,0.00171333333333333,3.09325399896471e-37,2.93551111111111e-06,0,0,0,1,0
7,0.1,9.18592998912402,0.0322213488470819,7,0.04,0.95,0.05,,,,,5746,268,248,0.00165333333333333,1.0119257601036,2.73351111111111e-06,0,0,0,1,0
8,0.1,0.00517749312694978,0.0435474040685074,7,0.04,0.95,0.05,,,,,5745,279,255,0.0017,6.82576705587304e-05,2.89e-06,0,0,0,1,0
9,0.1,0.00151824444012826,0.0410702138764988,7,0.04,0.95,0.05,,,,,5749,269,247,0.00164666666666667,5.17735539082951e-05,2.71151111111111e-06,0,0,0,1,0
10,0.1,0.000123056373106472,0.0401069738856149,7,0.04,0.95,0.05,,,,,5735,285,265,0.00176666666666667,5.18204108482064e-06,3.12111111111111e-06,0,0,0,1,0
