idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,7.28501924943635,0.0370514657691374,7,0.04,0.95,0.05,,,,,5694,302,305,0.00203333333333333,1.00568243556305,8.26888888888889e-06,0,0,0,2,0
2,0.1,9.7361523134907e-06,0.0400126165660871,7,0.04,0.95,0.05,,,,,5705,289,292,0.00194666666666667,1.32156865733751e-08,7.57902222222222e-06,0,0,0,2,0
3,0.1,0.00114667490556189,0.0408224431025357,7,0.04,0.95,0.05,,,,,5711,279,288,0.00192,4.35594303971307e-05,7.3728e-06,0,0,0,2,0
4,0.1,5.12569258576757e-05,0.0400473737122395,7,0.04,0.95,0.05,,,,,5698,307,301,0.00200666666666667,2.4016296562025e-06,8.05342222222222e-06,0,0,0,2,0
5,0.1,0.000357631202803875,0.0402835087790177,7,0.04,0.95,0.05,,,,,5689,304,307,0.00204666666666667,1.51369984120045e-05,8.37768888888889e-06,0,0,0,2,0
6,0.1,0.00101581541431597,0.0460997121549009,7,0.04,0.95,0.05,,,,,5692,305,308,0.00205333333333333,3.09325399896471e-37,4.21617777777778e-06,0,0,0,1,0
7,0.1,9.18592998912402,0.0322213488470819,7,0.04,0.95,0.05,,,,,5738,257,261,0.00174,1.0119257601036,3.0276e-06,0,0,0,1,0
8,0.1,0.00517749312694978,0.0435474040685074,7,0.04,0.95,0.05,,,,,5707,284,287,0.00191333333333333,6.82576705587304e-05,3.66084444444444e-06,0,0,0,1,0
9,0.1,0.00151824444012826,0.0410702138764988,7,0.04,0.95,0.05,,,,,5696,301,299,0.00199333333333333,5.17735539082951e-05,3.97337777777778e-06,0,0,0,1,0
10,0.1,0.000123056373106472,0.0401069738856149,7,0.04,0.95,0.05,,,,,5762,235,237,0.00158,5.18204108482064e-06,2.4964e-06,0,0,0,1,0
