idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,16758.5457998677,0.313412651186636,8,0.2,0.65,0.3,,,,,25502,123,4498,0.0299866666666667,0.999891726632947,0.00179840035555556,0,,0,0,2,0
2,0.1,0.00238583453370227,0.0526306554479022,8,0.05,0.55,0.15,,,,,7480,2020,20,0.000133333333333333,2.17896671326147e-08,3.55555555555556e-08,0,,0,0,2,0
3,0.1,0.0022490963975434,0.102493820636128,8,0.1,0.4,0.25,,,,,14767,2230,229,0.00152666666666667,1.97332575566828e-08,4.66142222222222e-06,0,,0,0,2,0
4,0.1,98683.2143958147,0.0470626994059375,8,0.25,0.6,0.1,,,,,21507,53,15986,0.106573333333333,1.00003290377445,0.0227157507555556,0,,0,0,2,0
5,0.1,0.0237099719472811,0.0361353566758717,8,0.01,0.8,0.4,,,,,1500,3348,0,0,2.19016933793323e-08,0,0,,0,0,2,0
6,0.1,0.0146293782944422,0.0365886578761315,8,0.02,0.7,0.3,,,,,3000,3344,0,0,1.32027083553708e-08,0,0,,0,0,1,0
7,0.1,24008.0495010237,0.137747404176234,8,0.25,0.8,0.2,,,,,25761,9,11732,0.0782133333333333,1.00007481277126,0.00611732551111111,0,,0,0,1,0
8,0.1,36268.4316678135,0.146698919693573,8,0.2,0.95,0.35,,,,,25596,25,4400,0.0293333333333333,1.00002351431458,0.000860444444444444,0,,0,0,1,0
9,0.1,0.0295594629868845,0.0446289394925545,8,0.01,0.75,0.45,,,,,1500,3349,0,0,7.2373155295956e-09,0,0,,0,0,1,0
10,0.1,0.0395486305122721,0.0552016280097641,8,0.01,0.85,0.65,,,,,1500,3348,0,0,1.14302084924102e-08,0,0,,0,0,1,0
