idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.0032944404357651,0.0459430832810757,0.6,0.01,0.95,0.06,,,,,1423,5480,77,0.000513333333333333,2.06110386325872e-06,5.27022222222222e-07,0,0,0,2,0
2,0.1,0.00326446578134581,0.0456840807073866,0.6,0.01,0.95,0.06,,,,,1406,5490,94,0.000626666666666667,2.01020178709663e-06,7.85422222222222e-07,0,0,0,2,0
3,0.1,0.00324346159772822,0.0457850274872127,0.6,0.01,0.95,0.06,,,,,1418,5471,82,0.000546666666666667,1.77880493582634e-06,5.97688888888889e-07,0,0,0,2,0
4,0.1,0.00332171165324272,0.045785702047739,0.6,0.01,0.95,0.06,,,,,1422,5466,78,0.00052,2.42925482684515e-06,5.408e-07,0,0,0,2,0
5,0.1,0.00331596970185869,0.0457072517417112,0.6,0.01,0.95,0.06,,,,,1411,5484,89,0.000593333333333333,2.44388377048211e-06,7.04088888888889e-07,0,0,0,2,0
6,0.1,0.00325530766592873,0.0459117451313239,0.6,0.01,0.95,0.06,,,,,1435,5461,65,0.000433333333333333,1.7814164264709e-06,1.87777777777778e-07,0,0,0,1,0
7,0.1,0.00331470022110006,0.0457427751075856,0.6,0.01,0.95,0.06,,,,,1432,5465,68,0.000453333333333333,2.4007454173196e-06,2.05511111111111e-07,0,0,0,1,0
8,0.1,0.00336111654307161,0.04571684158824,0.6,0.01,0.95,0.06,,,,,1439,5453,61,0.000406666666666667,2.89716646367034e-06,1.65377777777778e-07,0,0,0,1,0
9,0.1,0.00330883266555815,0.0459252865992889,0.6,0.01,0.95,0.06,,,,,1412,5483,88,0.000586666666666667,2.19601113137853e-06,3.44177777777778e-07,0,0,0,1,0
10,0.1,0.00332995056595532,0.045769465923114,0.6,0.01,0.95,0.06,,,,,1421,5466,79,0.000526666666666667,2.52293163829802e-06,2.77377777777778e-07,0,0,0,1,0
