idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.0032944404357651,0.0459430832810757,0.6,0.01,0.95,0.06,,,,,1419,5483,81,0.00054,2.06110386325872e-06,5.832e-07,0,0,0,2,0
2,0.1,0.00326446578134581,0.0456840807073866,0.6,0.01,0.95,0.06,,,,,1430,5478,70,0.000466666666666667,2.01020178709663e-06,4.35555555555556e-07,0,0,0,2,0
3,0.1,0.00324346159772822,0.0457850274872127,0.6,0.01,0.95,0.06,,,,,1424,5481,76,0.000506666666666667,1.77880493582634e-06,5.13422222222222e-07,0,0,0,2,0
4,0.1,0.00332171165324272,0.045785702047739,0.6,0.01,0.95,0.06,,,,,1422,5478,78,0.00052,2.42925482684515e-06,5.408e-07,0,0,0,2,0
5,0.1,0.00331596970185869,0.0457072517417112,0.6,0.01,0.95,0.06,,,,,1422,5483,78,0.00052,2.44388377048211e-06,5.408e-07,0,0,0,2,0
6,0.1,0.00325530766592873,0.0459117451313239,0.6,0.01,0.95,0.06,,,,,1438,5466,62,0.000413333333333333,1.7814164264709e-06,1.70844444444444e-07,0,0,0,1,0
7,0.1,0.00331470022110006,0.0457427751075856,0.6,0.01,0.95,0.06,,,,,1397,5502,103,0.000686666666666667,2.4007454173196e-06,4.71511111111111e-07,0,0,0,1,0
8,0.1,0.00336111654307161,0.04571684158824,0.6,0.01,0.95,0.06,,,,,1396,5508,104,0.000693333333333333,2.89716646367034e-06,4.80711111111111e-07,0,0,0,1,0
9,0.1,0.00330883266555815,0.0459252865992889,0.6,0.01,0.95,0.06,,,,,1423,5480,77,0.000513333333333333,2.19601113137853e-06,2.63511111111111e-07,0,0,0,1,0
10,0.1,0.00332995056595532,0.045769465923114,0.6,0.01,0.95,0.06,,,,,1413,5493,87,0.00058,2.52293163829802e-06,3.364e-07,0,0,0,1,0
