idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.0174102358368997,0.157568999551306,2,0.1,0.9,0.3,,,,,14923,11748,77,0.000513333333333333,1.80225467419947e-06,5.27022222222222e-07,0,0,0,2,0
2,0.2,0.0121759568857604,0.140152163258817,2,0.1,0.75,0.2,,,,,14704,11965,296,0.00197333333333333,1.86800581582301e-06,7.78808888888889e-06,0,0,0,2,0
3,0.2,0.0418176206870721,0.238815546510385,2,0.1,0.65,0.7,,,,,14904,11766,96,0.00064,1.71142026467388e-06,4.096e-07,0,0,0,1,0
4,0.2,0.0248411547973207,0.18530527629567,2,0.1,0.5,0.35,,,,,14904,11766,95,0.000633333333333333,1.08262611159346e-06,4.01111111111111e-07,0,0,0,1,0
5,0.2,0.0196762121318779,0.166358908776666,2,0.1,0.8,0.4,,,,,14955,11714,45,0.0003,1.38448880590312e-06,9e-08,0,0,0,1,0
