idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,22264.953539158,0.249817048607734,5,0.2,0.65,0.3,,,,,25229,574,4767,0.03178,0.999977625602854,0.0020199368,0,,0,0,2,0
2,0.1,0.000942859733425577,0.0517360244502375,5,0.05,0.55,0.15,,,,,7317,2160,180,0.0012,1.00838576553782e-08,2.88e-06,0,,0,0,2,0
3,0.1,0.00149876651047952,0.103986077276397,5,0.1,0.4,0.25,,,,,14320,2651,676,0.00450666666666667,2.81595721958352e-12,4.06200888888889e-05,0,,0,0,2,0
4,0.1,99596.550227095,0.0404312995188155,5,0.25,0.6,0.1,,,,,20968,396,16529,0.110193333333333,1.00002104198437,0.0242851414222222,0,,0,0,2,0
5,0.1,0.010815707966619,0.0305419180164018,5,0.01,0.8,0.4,,,,,1500,3332,0,0,5.64401167776082e-09,0,0,,0,0,2,0
6,0.1,0.0103642018777915,0.0391416483141952,5,0.02,0.7,0.3,,,,,2999,3331,1,6.66666666666667e-06,9.52825987638521e-09,4.44444444444444e-11,0,,0,0,1,0
7,0.1,10300.6000992511,0.199513808956489,5,0.25,0.8,0.2,,,,,25497,112,11999,0.0799933333333333,1.00004901406502,0.00639893337777778,0,,0,0,1,0
8,0.1,35064.3254582165,0.147277209261257,5,0.2,0.95,0.35,,,,,25557,244,4439,0.0295933333333333,1.00001503613328,0.000875765377777778,0,,0,0,1,0
9,0.1,0.0205284297465133,0.0461506526930246,5,0.01,0.75,0.45,,,,,1500,3331,0,0,2.24934243119296e-08,0,0,,0,0,1,0
10,0.1,0.0198897143256381,0.0640050455061812,5,0.01,0.85,0.65,,,,,1500,3332,0,0,1.61409295971492e-12,0,0,,0,0,1,0
