idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,99584.5459864522,0.0869802753128632,2,0.2,0.65,0.3,,,,,22331,3381,7669,0.0511266666666667,1.00000453965945,0.00522787208888889,0,,0,0,2,0
2,0.1,0.00216899709182566,0.0603729712399809,2,0.05,0.55,0.15,,,,,6469,2998,1031,0.00687333333333333,4.92212544020415e-09,9.44854222222222e-05,0,,0,0,2,0
3,0.1,0.00117253714416447,0.105533818513339,2,0.1,0.4,0.25,,,,,12418,4560,2581,0.0172066666666667,6.32914611409659e-09,0.000592138755555555,0,,0,0,2,0
4,0.1,17946.5977629875,0.114232071292066,2,0.25,0.6,0.1,,,,,18175,3304,19324,0.128826666666667,1.00003026088504,0.0331926200888889,0,,0,0,2,0
5,0.1,0.0137877542374434,0.0736248433259542,2,0.01,0.8,0.4,,,,,1500,3311,0,0,9.63018841406362e-09,0,0,,0,0,2,0
6,0.1,0.0111934066678196,0.0690259206325455,2,0.02,0.7,0.3,,,,,2973,3331,27,0.00018,2.46233422601102e-08,3.24e-08,0,,0,0,1,0
7,0.1,11405.8442416897,0.197742152120932,2,0.25,0.8,0.2,,,,,23790,1890,13709,0.0913933333333333,1.00001832685968,0.00835274137777778,0,,0,0,1,0
8,0.1,64936.9117294337,0.0880025703359721,2,0.2,0.95,0.35,,,,,23467,2236,6532,0.0435466666666667,1.00000689886926,0.00189631217777778,0,,0,0,1,0
9,0.1,0.014258289682663,0.0810803540584157,2,0.01,0.75,0.45,,,,,1499,3311,1,6.66666666666667e-06,2.18690202629105e-09,4.44444444444444e-11,0,,0,0,1,0
10,0.1,0.0180128182559142,0.0960057557686643,2,0.01,0.85,0.65,,,,,1499,3312,1,6.66666666666667e-06,5.07576066201211e-09,4.44444444444444e-11,0,,0,0,1,0
