idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.000637040940355957,0.102374571458275,1.5,0.1,0.6,0.75,,,,,14831,167,169,0.00112666666666667,1.39155119544574e-05,2.53875555555556e-06,0,0,0,2,0
2,0.1,0.000893735339336279,0.10336644830603,1.5,0.1,0.5,0.85,,,,,14815,183,185,0.00123333333333333,1.23710473769948e-05,3.04222222222222e-06,0,0,0,2,0
3,0.1,0.00252736383467619,0.108495375704733,1.5,0.1,0.7,0.65,,,,,14613,385,387,0.00258,4.17389731221623e-05,1.33128e-05,0,0,0,2,0
4,0.1,0.000953958551866037,0.103487870758237,1.5,0.1,0.45,0.9,,,,,14710,288,290,0.00193333333333333,1.72340481238097e-05,7.47555555555556e-06,0,0,0,2,0
5,0.1,88.4504206996801,0.0349826612853022,1.5,0.1,0.35,0.7,,,,,14806,192,194,0.00129333333333333,1.00220764625419,3.34542222222222e-06,0,0,0,2,0
6,0.1,0.000579539951494633,0.102059053193397,1.5,0.1,0.4,0.4,,,,,14716,281,283,0.00188666666666667,2.34948454183656e-05,3.55951111111111e-06,0,0,0,1,0
7,0.1,0.00214080196396959,0.108791548480779,1.5,0.1,0.3,0.7,,,,,14902,96,98,0.000653333333333333,4.46168631435342e-06,4.26844444444444e-07,0,0,0,1,0
8,0.1,39.851827956259,0.128782645947605,1.5,0.1,0.4,0.8,,,,,14944,53,55,0.000366666666666667,0.997835621006865,1.34444444444444e-07,0,0,0,1,0
9,0.1,0.00127552236659018,0.10446540284972,1.5,0.1,0.55,0.45,,,,,14673,324,327,0.00218,2.74669427917192e-05,4.7524e-06,0,0,0,1,0
10,0.1,0.00083299457006576,0.103026764646618,1.5,0.1,0.45,0.25,,,,,13696,1301,1304,0.00869333333333333,1.8443767118659e-05,7.55740444444445e-05,0,0,0,1,0
