idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.00244667080304738,0.0458097070430455,0.2,0.01,0.95,0.06,,,,,931,5949,569,0.00379333333333333,0.00286714613978212,2.87787555555556e-05,0,0,0,2,0
2,0.1,0.0024454910345962,0.0457942474066335,0.2,0.01,0.95,0.06,,,,,934,5946,566,0.00377333333333333,0.00286629857292118,2.84760888888889e-05,0,0,0,2,0
3,0.1,0.00244599616030552,0.0458010201006091,0.2,0.01,0.95,0.06,,,,,930,5950,570,0.0038,0.00286658955256221,2.888e-05,0,0,0,2,0
4,0.1,0.0024461450272074,0.0458029211388324,0.2,0.01,0.95,0.06,,,,,923,5954,577,0.00384666666666667,0.00286671980496878,2.95936888888889e-05,0,0,0,2,0
5,0.1,0.00244555039409921,0.0457949590095484,0.2,0.01,0.95,0.06,,,,,926,5957,574,0.00382666666666667,0.00286637228729202,2.92867555555556e-05,0,0,0,2,0
6,0.1,0.00244591998724283,0.0457999848405303,0.2,0.01,0.95,0.06,,,,,943,5935,557,0.00371333333333333,0.00286655221180678,1.37888444444444e-05,0,0,0,1,0
7,0.1,0.00244481757835195,0.045785667143532,0.2,0.01,0.95,0.06,,,,,913,5968,587,0.00391333333333333,0.00286569977263147,1.53141777777778e-05,0,0,0,1,0
8,0.1,0.00244593028127944,0.045800079846301,0.2,0.01,0.95,0.06,,,,,922,5958,578,0.00385333333333333,0.00286657830652694,1.48481777777778e-05,0,0,0,1,0
9,0.1,0.00244461345634403,0.0457829175520542,0.2,0.01,0.95,0.06,,,,,916,5961,584,0.00389333333333333,0.00286558807564725,1.51580444444444e-05,0,0,0,1,0
10,0.1,0.00244590016420129,0.0457997555336033,0.2,0.01,0.95,0.06,,,,,899,5980,601,0.00400666666666667,0.00286652369280204,1.60533777777778e-05,0,0,0,1,0
