idx,clientVars,period,p,q,delay,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,packet_deadline_array,delay_time_array,mc,channel_states,mu,activations,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,weight,aoi_lambda
1,0.000140575883695032,21,0.912278308291233,0.15,4,2.48905456518014e-05,2.41231175940211e-05,0.000342553551052915,,,,,,0.0476190476190476,,,,,,0,4.62421295386565e-07,0.0223382623528599
2,0.000135819937892599,21,0.815854363317252,0.134145636682748,4,2.95884097770986e-05,3.01376958534697e-05,0.000348468977946731,,,,,,0.0476190476190476,,,,,,0,8.32135476250069e-07,0.0375987301585345
3,0.000140396530542235,21,0.794384511651008,0.130615488348992,4,2.5066364898081e-05,2.4309259177819e-05,0.000342730767698353,,,,,,0.0476190476190476,,,,,,0,4.73497335726444e-07,0.0474434577218413
4,0.000139510854740344,21,0.772914659984765,0.127085340015235,4,2.59361126372825e-05,2.52718081094868e-05,0.000343653947778808,,,,,,0.0476190476190476,,,,,,0,5.31196090754861e-07,0.0471649034226581
5,0.000128886042664321,21,0.751444808318521,0.123555191681478,4,3.65762376118165e-05,4.39420041812201e-05,0.000363084204335065,,,,,,0.0476190476190476,,,,,,0,1.7455871255209e-06,0.0352437968147486
6,0.000129333715614439,21,0.729974956652278,0.120025043347722,4,3.61198978354524e-05,4.28303651173281e-05,0.000361865938530077,,,,,,0.0476190476190476,,,,,,0,1.66944551270915e-06,0.015062577206768
7,0.000133575125831458,21,0.708505104986034,0.116494895013965,4,3.18321972605775e-05,3.38665632635943e-05,0.000352295364911694,,,,,,0.0476190476190476,,,,,,0,1.07128466156026e-06,0.0364153203432499
8,0.000130558745968061,21,0.687035253319791,0.112964746680209,4,3.48748860959155e-05,3.99585970449456e-05,0.000358748868980829,,,,,,0.0476190476190476,,,,,,0,1.47462866588116e-06,0.0247480711200922
9,0.000134054681630839,21,0.665565401653547,0.109434598346452,4,3.13514034153347e-05,3.30159164387258e-05,0.000351413411921767,,,,,,0.0476190476190476,,,,,,0,1.01616259968979e-06,0.0480397351234152
10,0.000128314765203278,21,0.644095549987304,0.105904450012696,4,3.71596453996632e-05,4.54108298962473e-05,0.000364703458501063,,,,,,0.0476190476190476,,,,,,0,1.84679051089579e-06,0.0215674939464296
11,0.000133746163333136,21,0.622625698321061,0.102374301678939,4,3.16606266589604e-05,3.35596736924381e-05,0.000351976594466329,,,,,,0.0476190476190476,,,,,,0,1.05136150872492e-06,0.0230626668244082
12,0.000134932108856747,21,0.601155846654817,0.0988441533451827,4,3.04737670980654e-05,3.15367839914188e-05,0.00034989231708479,,,,,,0.0476190476190476,,,,,,0,9.21094172378742e-07,0.0282155170259482
13,0.000137704140105218,21,0.579685994988574,0.0953140050114262,4,2.77182725982242e-05,2.74722429480854e-05,0.00034580312043791,,,,,,0.0476190476190476,,,,,,0,6.65519381948711e-07,0.043896288502281
14,0.000134590236901678,21,0.55821614332233,0.0917838566776697,4,3.08154055752796e-05,3.21014374469049e-05,0.000350471071035832,,,,,,0.0476190476190476,,,,,,0,9.57266294318887e-07,0.0450784554222825
15,0.000133798196984019,21,0.536746291656087,0.0882537083439131,4,3.16084509822354e-05,3.34670839947016e-05,0.000351880549439551,,,,,,0.0476190476190476,,,,,,0,1.04535869455129e-06,0.025878899485096
16,0.000128359088521652,21,0.515276439989843,0.0847235600101566,4,3.71143378104304e-05,4.52948183320432e-05,0.000364575178353249,,,,,,0.0476190476190476,,,,,,0,1.83877300165741e-06,0.0215665891765078
17,0.000132657356400254,21,0.4938065883236,0.0811934116764001,4,3.27545701524604e-05,3.55812835753208e-05,0.000354088237680209,,,,,,0.0476190476190476,,,,,,0,1.18333920959245e-06,0.0185953530098528
18,0.000144853903357459,21,0.472336736657356,0.0776632633426435,4,2.07484101561778e-05,2.04825020143975e-05,0.000339190987944498,,,,,,0.0476190476190476,,,,,,0,2.52261101110481e-07,0.043697199972705
19,0.000130985910757969,21,0.450866884991113,0.074133115008887,4,3.44420295160354e-05,3.90137129393359e-05,0.000357733214167549,,,,,,0.0476190476190476,,,,,,0,1.41115024005119e-06,0.007939113795324
20,0.000129336853885637,21,0.429397033324869,0.0706029666751305,4,3.61167013994955e-05,4.28226923179204e-05,0.000361857551846268,,,,,,0.0476190476190476,,,,,,0,1.66892134497109e-06,0.00971869795040451
