idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.00340129102505421,0.0441256013007084,4,0.04,0.95,0.05,,,,,5429,582,571,0.00380666666666667,6.10625024613291e-05,2.89814222222222e-05,0,0,0,2,0
2,0.1,1.93391115221481,0.0422903932075571,4,0.04,0.95,0.05,,,,,5426,590,572,0.00381333333333333,0.990570085720046,2.90830222222222e-05,0,0,0,2,0
3,0.1,2.92631462810124,0.0405613865048882,4,0.04,0.95,0.05,,,,,5453,568,546,0.00364,0.998466450784263,2.64992e-05,0,0,0,2,0
4,0.1,3.96957381598162,0.0387705606359016,4,0.04,0.95,0.05,,,,,5439,578,559,0.00372666666666667,1.00248079776141,2.77760888888889e-05,0,0,0,2,0
5,0.1,0.456442739940458,0.0459811861076838,4,0.04,0.95,0.05,,,,,5443,570,556,0.00370666666666667,0.90047641411266,2.74787555555556e-05,0,0,0,2,0
6,0.1,0.00117550835815919,0.0412018704277141,4,0.04,0.95,0.05,,,,,5408,608,591,0.00394,0.000280367641508841,1.55236e-05,0,0,0,1,0
7,0.1,4.62138597435766,0.0353392353129341,4,0.04,0.95,0.05,,,,,5418,597,581,0.00387333333333333,1.00810080317314,1.50027111111111e-05,0,0,0,1,0
8,0.1,0.000154194441035547,0.0401990550321824,4,0.04,0.95,0.05,,,,,5425,594,574,0.00382666666666667,3.27213878424999e-05,1.46433777777778e-05,0,0,0,1,0
9,0.1,4.68753753923897,0.0347195573881172,4,0.04,0.95,0.05,,,,,5376,638,623,0.00415333333333333,1.00905261249726,1.72501777777778e-05,0,0,0,1,0
10,0.1,3.99610526464063,0.038074214843934,4,0.04,0.95,0.05,,,,,5402,613,596,0.00397333333333333,1.00386276550107,1.57873777777778e-05,0,0,0,1,0
