idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.00279491296998012,0.20533565113808,4,0.2,0.65,0.3,,,,,24797,997,5201,0.0346733333333333,2.3294475920803e-07,0.00240448008888889,0,,0,0,2,0
2,0.1,0.0102351581618431,0.0710065421023458,4,0.05,0.55,0.15,,,,,7221,2340,279,0.00186,7.40056373188197e-08,6.9192e-06,0,,0,0,2,0
3,0.1,0.0066062696893404,0.113120150383545,4,0.1,0.4,0.25,,,,,13996,3062,1003,0.00668666666666667,1.25856984244706e-07,8.94230222222222e-05,0,,0,0,2,0
4,0.1,16274.3489591772,0.108885684191227,4,0.25,0.6,0.1,,,,,20431,707,17066,0.113773333333333,1.00006937012874,0.0258887427555556,0,,0,0,2,0
5,0.1,0.0299425248445235,0.0706713544444587,4,0.01,0.8,0.4,,,,,1499,3354,0,0,9.12116000285918e-08,0,0,,0,0,2,0
6,0.1,0.000100735086068701,0.0739191899893658,4,0.02,0.7,0.3,,,,,2999,3347,0,0,0,0,0,,0,0,1,0
7,0.1,18635.0972940642,0.103607897532992,4,0.25,0.8,0.2,,,,,25299,274,12198,0.08132,1.0000628477331,0.0066129424,0,,0,0,1,0
8,0.1,99351.9956600767,0.069684500647065,4,0.2,0.95,0.35,,,,,25282,510,4716,0.03144,1.00001049329163,0.0009884736,0,,0,0,1,0
9,0.1,0.0273960985910835,0.0665523914409585,4,0.01,0.75,0.45,,,,,1500,3354,0,0,6.73072070353406e-08,0,0,,0,0,1,0
10,0.1,0.0387474832707252,0.0898173707306939,4,0.01,0.85,0.65,,,,,1500,3356,0,0,6.96700553902029e-08,0,0,,0,0,1,0
