idx,clientVars,mu,delay,period,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,avg_tot_interrupt_rate,avg_tot_interrupt_rate_per_timestep,avg_interrupt_over_runs,theoretical_interrupt_rate,activations,current_aoi_array,time_since_last_packet_was_generated,aoi_lambda,avg_tot_aoi_value
1,0.00355875664483145,0.166666666666667,20,6,0.696105621383849,0.3,,,,,24972,16,18,0.00012,8.89689161207862e-05,0.000147149963578575,0.000178051455930076,12,0,,0,0,24988,1,-1,0.10664361376369,
2,0.00340181111819949,0.166666666666667,21,6,0.628944406894421,0.271055593105579,,,,,24972,14,17,0.000113333333333333,8.09955028142736e-05,0.000154507461757504,0.000169572815171501,14,0,,0,0,24986,1,-1,0.114351791168152,
3,0.00226048103995035,0.166666666666667,22,6,0.559061695017263,0.240938304982737,,,,,24979,9,9,6e-05,5.13745690897808e-05,0.000161864959936433,0.000161864959936433,12,0,,0,0,24988,1,-1,0.140125807002496,
4,0.00382809586061184,0.166666666666667,23,6,0.489178983140106,0.210821016859894,,,,,24971,16,17,0.000113333333333333,8.32194752306922e-05,0.000169222458115361,0.000154827352982675,13,0,,0,0,24987,1,-1,0.0370441433920817,
5,0.0378555206391733,0.166666666666667,24,6,0.419296271262948,0.180703728737052,,,,,24818,132,164,0.00109333333333333,0.000788656679982778,0.00017657995629429,0.000148376213275063,50,0,,0,0,24950,1,-1,0.144016718089325,
